x,y,z,d
0.34,-0.5682219,0.81325443,32.93283
-0.26,0.6317781,0.11325443,32.938705
-0.31,0.3317781,0.21325443,32.94384
-0.16,0.8817781,0.16325443,32.95933
0.19,0.5817781,0.16325443,33.00483
-0.06,0.4817781,0.16325443,33.014294
0.04,-0.6182219,0.66325443,33.36855
0.04,0.6317781,0.11325443,33.399918
-0.16,0.5317781,0.11325443,33.454422
0.34,-0.5682219,0.91325443,33.458603
-0.16,0.4817781,0.16325443,33.80264
-0.01,-0.0682219,0.16325443,33.926132
-0.16,-0.3682219,0.61325443,33.968815
-0.26,-0.0182219,0.41325443,33.980457
-0.06,0.3317781,0.11325443,34.065327
-0.01,-0.1182219,0.21325443,34.614353
-0.26,0.6817781,0.11325443,34.689037
-0.21,0.3317781,0.21325443,35.144268
-0.16,-0.6182219,0.66325443,35.148888
-0.21,0.2317781,0.21325443,35.175632
0.04,-0.3182219,0.11325443,35.429897
0.14,0.3817781,0.11325443,35.476086
0.19,0.5817781,0.66325443,35.495975
-0.01,0.6317781,0.16325443,35.533634
0.14,0.3317781,0.16325443,35.56738
0.19,0.4817781,0.61325443,35.798862
-0.06,-0.5182219,0.71325443,35.83385
-0.01,0.0317781,0.11325443,36.119724
0.04,-0.5182219,0.71325443,36.120674
0.29,-0.2182219,0.66325443,36.179604
-0.21,-0.0682219,0.11325443,36.193027
0.14,-0.0182219,0.26325443,36.22645
-0.01,0.0317781,0.16325443,36.231976
0.24,0.6817781,0.11325443,36.540394
-0.06,0.5317781,0.16325443,36.62842
-0.31,-0.5182219,0.91325443,36.65272
-0.06,-0.1682219,0.21325443,36.917263
0.29,0.1817781,0.21325443,37.050217
0.14,0.6317781,0.31325443,37.220036
-0.06,-0.3182219,0.11325443,37.23808
0.19,0.3817781,0.11325443,37.405937
0.24,-0.6182219,0.66325443,37.42144
-0.21,-0.1682219,0.61325443,37.42799
0.19,0.8317781,0.56325443,37.4623
0.19,0.6817781,0.11325443,37.5589
0.29,-0.5682219,0.66325443,37.728176
0.14,-0.4682219,0.76325443,37.801624
-0.21,-0.5682219,0.71325443,37.863056
-0.26,0.3317781,0.21325443,38.036953
0.19,0.2317781,0.21325443,38.0706
-0.26,-0.5682219,0.71325443,38.345314
-0.21,-0.0182219,0.36325443,38.38301
-0.06,0.3817781,0.16325443,38.839664
0.19,0.8317781,0.51325443,39.101585
0.24,-0.6682219,0.66325443,39.181496
-0.11,-0.2682219,0.16325443,39.51561
0.34,-0.6182219,0.71325443,39.718624
-0.21,-0.4182219,0.61325443,39.874397
0.24,0.0817781,0.46325443,39.90159
0.34,-0.6682219,0.71325443,39.96237
0.19,-0.2182219,0.71325443,40.158424
0.24,-0.1682219,0.76325443,40.46417
0.29,-0.1682219,0.66325443,40.91423
-0.01,0.3817781,0.16325443,40.920742
0.09,0.4317781,0.11325443,40.922756
