x,y,z,d
0.29,0.6817781,0.11325443,446.29355
0.19,-0.0182219,0.26325443,445.5679
0.09,-0.3182219,0.26325443,443.89667
-0.36,-0.6182219,0.86325443,443.3173
0.04,0.5317781,0.21325443,443.11624
0.14,0.8317781,0.21325443,442.5626
0.24,0.4317781,0.16325443,441.98416
-0.06,0.8317781,0.66325443,439.60684
-0.11,0.6317781,0.26325443,438.17545
0.24,-0.8182219,0.66325443,438.0596
0.24,0.8817781,0.16325443,437.45328
-0.01,0.6317781,0.26325443,437.3329
0.19,0.3317781,0.26325443,436.75577
0.24,0.3817781,0.21325443,435.67758
-0.16,-0.4682219,0.61325443,435.29025
0.24,-0.1682219,0.71325443,434.55136
0.09,0.6817781,0.16325443,433.71823
-0.36,-0.5182219,0.81325443,430.73764
0.09,0.2317781,0.26325443,429.15396
0.24,0.2317781,0.26325443,427.8754
0.04,-0.0182219,0.26325443,426.6831
-0.36,-0.6182219,0.91325443,426.34537
0.09,0.4317781,0.56325443,426.32462
-0.06,0.4817781,0.66325443,424.96164
-0.11,0.1817781,0.26325443,423.9528
-0.36,-0.7182219,0.81325443,423.1124
-0.11,0.8817781,0.16325443,421.62924
-0.31,0.6817781,0.21325443,421.52124
0.14,0.4317781,0.51325443,421.2446
-0.16,0.8317781,0.51325443,419.87698
0.14,-0.8182219,0.66325443,419.35333
0.24,0.8317781,0.16325443,419.03726
0.24,0.0317781,0.41325443,418.24823
-0.11,0.0317781,0.26325443,416.22946
0.14,0.8317781,0.26325443,415.40683
0.19,0.4317781,0.26325443,415.1677
0.24,-0.2182219,0.66325443,414.97287
-0.16,-0.2682219,0.76325443,414.1862
0.34,-0.7182219,0.66325443,414.10764
0.09,0.8817781,0.61325443,413.0737
0.29,0.5317781,0.16325443,412.53745
-0.11,0.3317781,0.26325443,412.24472
-0.16,-0.5182219,0.91325443,411.31815
-0.06,0.3317781,0.26325443,410.84445
-0.11,-0.7682219,0.66325443,410.5717
0.04,0.5817781,0.26325443,410.26062
0.14,0.8317781,0.51325443,410.07748
0.14,0.4817781,0.56325443,408.6222
0.09,-0.4182219,0.66325443,407.2432
0.14,0.4317781,0.36325443,406.51578
0.14,-0.2182219,0.36325443,405.87332
-0.21,-0.0182219,0.46325443,405.4471
-0.11,0.5817781,0.21325443,404.9023
0.19,0.8317781,0.21325443,404.4943
-0.01,0.5817781,0.66325443,404.244
-0.11,0.8317781,0.56325443,403.45792
-0.11,0.5817781,0.66325443,402.93045
0.14,0.8317781,0.56325443,401.56674
0.09,0.5817781,0.66325443,401.50674
-0.16,-0.2182219,0.36325443,399.3541
0.24,-0.1682219,0.66325443,397.71353
-0.31,0.6317781,0.26325443,397.31223
-0.01,0.5317781,0.21325443,396.50778
-0.16,0.3817781,0.21325443,394.23593
-0.06,0.3317781,0.21325443,393.4473
0.24,0.4317781,0.26325443,392.9999
0.24,-0.0182219,0.21325443,392.82193
0.04,0.5317781,0.26325443,391.7545
0.29,-0.1682219,0.61325443,391.65842
-0.11,0.5817781,0.26325443,391.17935
-0.36,-0.5182219,0.86325443,390.6003
0.29,0.5317781,0.21325443,389.62198
0.09,0.5817781,0.21325443,387.53415
-0.21,0.5317781,0.16325443,387.4075
-0.26,0.4817781,0.26325443,386.90317
-0.36,-0.6182219,0.66325443,385.82043
-0.01,0.5817781,0.26325443,384.7471
0.24,-0.0682219,0.16325443,384.35684
0.24,0.3817781,0.26325443,383.72794
-0.21,0.4317781,0.26325443,383.19962
0.24,0.2817781,0.26325443,382.9247
-0.16,-0.1182219,0.31325443,379.96542
-0.36,-0.5682219,0.91325443,375.8334
-0.06,-0.8182219,0.66325443,374.95755
0.19,0.8817781,0.21325443,373.20218
0.09,-0.3682219,0.26325443,373.0126
0.34,-0.7682219,0.66325443,372.3116
-0.21,0.0317781,0.41325443,370.3395
-0.06,-0.5182219,0.86325443,369.95743
-0.36,-0.7682219,0.66325443,369.75912
0.09,0.4817781,0.56325443,369.69687
-0.21,-0.2182219,0.66325443,368.5712
0.19,0.8317781,0.16325443,368.48138
-0.11,0.3817781,0.16325443,367.51614
0.14,0.6817781,0.66325443,365.8907
0.24,-0.5182219,0.71325443,365.46173
0.14,-0.1182219,0.31325443,365.4244
-0.31,0.3817781,0.21325443,365.24887
-0.06,0.7317781,0.66325443,364.86057
0.24,0.0317781,0.46325443,364.46677
0.14,-0.3182219,0.46325443,363.96518
-0.06,0.5317781,0.21325443,361.1096
-0.01,0.7317781,0.66325443,360.48288
0.24,0.8817781,0.11325443,360.40982
-0.21,-0.5182219,0.91325443,357.83948
-0.11,0.5317781,0.26325443,356.7189
-0.11,0.2317781,0.26325443,355.75314
-0.36,-0.6682219,0.71325443,355.6015
0.04,-0.8182219,0.66325443,355.37497
-0.36,-0.5682219,0.86325443,355.3173
-0.06,-0.1182219,0.26325443,352.36975
-0.06,0.6817781,0.66325443,351.35672
0.09,0.3317781,0.21325443,350.05167
0.09,0.4817781,0.26325443,349.4222
0.04,0.3817781,0.21325443,348.5817
-0.11,-0.3182219,0.21325443,346.72797
-0.06,-0.0682219,0.26325443,345.6785
-0.01,0.5817781,0.21325443,345.6329
0.04,0.3317781,0.21325443,344.99445
0.34,-0.8182219,0.66325443,344.9263
0.09,0.6317781,0.26325443,344.89874
-0.36,-0.7182219,0.71325443,343.9156
-0.36,-0.7182219,0.76325443,343.27872
-0.26,0.5317781,0.26325443,343.16946
0.29,-0.1182219,0.56325443,341.84598
0.29,0.6317781,0.11325443,340.5096
0.34,-0.5182219,0.71325443,339.6998
-0.11,0.2817781,0.21325443,338.75076
0.29,0.3817781,0.11325443,338.22708
-0.06,-0.0182219,0.26325443,337.9675
0.09,-0.7682219,0.66325443,335.33932
-0.16,0.4317781,0.46325443,335.31015
0.04,-0.5182219,0.86325443,335.17923
0.14,0.3817781,0.31325443,334.89987
-0.16,0.4317781,0.56325443,334.34134
-0.11,0.4817781,0.21325443,334.02518
0.14,0.4317781,0.41325443,333.90997
0.24,-0.0682219,0.21325443,332.8936
-0.11,0.0817781,0.26325443,332.5889
-0.01,0.4317781,0.26325443,331.7679
0.14,-0.3682219,0.51325443,329.96298
-0.21,-0.0182219,0.26325443,329.21555
0.14,-0.1682219,0.71325443,327.4915
-0.06,0.7817781,0.66325443,327.02466
-0.16,0.8817781,0.56325443,324.6484
0.14,0.8817781,0.31325443,323.5162
-0.11,0.4817781,0.26325443,323.2366
-0.16,-0.1682219,0.31325443,322.71255
0.24,0.2317781,0.16325443,322.5368
-0.11,0.3317781,0.11325443,322.20474
-0.26,0.4817781,0.16325443,322.14572
0.29,-0.5182219,0.91325443,320.50864
0.14,-0.0182219,0.46325443,320.15906
-0.31,0.6817781,0.16325443,319.0764
0.09,0.7817781,0.16325443,318.17374
-0.21,0.8817781,0.21325443,316.8655
-0.06,0.5817781,0.21325443,316.70087
-0.01,0.5317781,0.66325443,315.85464
-0.36,-0.5182219,0.91325443,314.72922
-0.01,0.5317781,0.26325443,314.54535
0.14,0.4817781,0.51325443,313.9503
-0.11,0.5317781,0.66325443,313.4263
0.24,0.6817781,0.16325443,313.32547
0.14,-0.4182219,0.61325443,312.98615
-0.16,0.4317781,0.41325443,312.79974
0.09,-0.5182219,0.91325443,312.26248
-0.21,0.6317781,0.16325443,310.88138
0.09,0.8317781,0.16325443,310.79367
