x,y,z,d
-2.16,-1.5182219,0.86325443,-9.155462
-2.11,-1.5182219,0.86325443,-9.586774
-2.06,-1.5182219,0.86325443,-7.992686
-2.01,-1.5182219,0.86325443,-7.825825
-1.96,-1.5182219,0.86325443,-6.5675817
-1.91,-1.5182219,0.86325443,-7.112362
-1.86,-1.5182219,0.86325443,-8.283139
-1.81,-1.5182219,0.86325443,-7.1369076
-1.76,-1.5182219,0.86325443,-7.4701047
-1.71,-1.5182219,0.86325443,-7.197114
-1.66,-1.5182219,0.86325443,-6.805858
-1.61,-1.5182219,0.86325443,-6.7350745
-1.56,-1.5182219,0.86325443,-5.6514626
-1.51,-1.5182219,0.86325443,-5.826142
-1.46,-1.5182219,0.86325443,-6.8256803
-1.41,-1.5182219,0.86325443,-6.5301347
-1.36,-1.5182219,0.86325443,-6.784721
-1.31,-1.5182219,0.86325443,-7.3903823
-1.26,-1.5182219,0.86325443,-6.571264
-1.21,-1.5182219,0.86325443,-7.092177
-1.16,-1.5182219,0.86325443,-6.2635117
-1.11,-1.5182219,0.86325443,-6.3003035
-1.06,-1.5182219,0.86325443,-7.2533298
-1.01,-1.5182219,0.86325443,-6.316606
-0.96,-1.5182219,0.86325443,-6.943343
-0.91,-1.5182219,0.86325443,-6.552286
-0.86,-1.5182219,0.86325443,-4.936692
-0.81,-1.5182219,0.86325443,-5.5622654
-0.76,-1.5182219,0.86325443,-4.828671
-0.71,-1.5182219,0.86325443,-5.3688684
-0.66,-1.5182219,0.86325443,-6.1865864
-0.61,-1.5182219,0.86325443,-6.9619193
-0.56,-1.5182219,0.86325443,-7.324539
-0.51,-1.5182219,0.86325443,-7.405364
-0.46,-1.5182219,0.86325443,-5.111485
-0.41,-1.5182219,0.86325443,-4.516539
-0.36,-1.5182219,0.86325443,-3.0133805
-0.31,-1.5182219,0.86325443,-4.141644
-0.26,-1.5182219,0.86325443,-5.0055776
-0.21,-1.5182219,0.86325443,-4.248407
-0.16,-1.5182219,0.86325443,-4.570637
-0.11,-1.5182219,0.86325443,-5.294213
-0.06,-1.5182219,0.86325443,-3.193664
-0.01,-1.5182219,0.86325443,-3.4964774
0.04,-1.5182219,0.86325443,-3.0876486
0.09,-1.5182219,0.86325443,-4.8586655
0.14,-1.5182219,0.86325443,-4.3928285
0.19,-1.5182219,0.86325443,-4.80816
0.24,-1.5182219,0.86325443,-3.977576
0.29,-1.5182219,0.86325443,-4.3216686
0.34,-1.5182219,0.86325443,-2.542179
0.39,-1.5182219,0.86325443,-4.5898004
0.44,-1.5182219,0.86325443,-4.172237
0.49,-1.5182219,0.86325443,-6.038112
0.54,-1.5182219,0.86325443,-5.980845
0.59,-1.5182219,0.86325443,-6.9811907
0.64,-1.5182219,0.86325443,-5.974985
0.69,-1.5182219,0.86325443,-5.8054757
0.74,-1.5182219,0.86325443,-6.0954037
0.79,-1.5182219,0.86325443,-8.004216
0.84,-1.5182219,0.86325443,-7.648732
0.89,-1.5182219,0.86325443,-8.094457
0.94,-1.5182219,0.86325443,-9.236678
0.99,-1.5182219,0.86325443,-8.673569
1.04,-1.5182219,0.86325443,-7.7475495
1.09,-1.5182219,0.86325443,-7.4135194
1.14,-1.5182219,0.86325443,-8.547245
1.19,-1.5182219,0.86325443,-9.156858
1.24,-1.5182219,0.86325443,-7.9898696
1.29,-1.5182219,0.86325443,-9.109498
1.34,-1.5182219,0.86325443,-8.211741
1.39,-1.5182219,0.86325443,-8.479758
1.44,-1.5182219,0.86325443,-8.35426
1.49,-1.5182219,0.86325443,-8.830334
1.54,-1.5182219,0.86325443,-8.472198
1.59,-1.5182219,0.86325443,-9.539298
1.64,-1.5182219,0.86325443,-8.376763
1.69,-1.5182219,0.86325443,-9.44441
1.74,-1.5182219,0.86325443,-9.393961
1.79,-1.5182219,0.86325443,-8.258215
1.84,-1.5182219,0.86325443,-7.4961276
1.89,-1.5182219,0.86325443,-7.5537786
1.94,-1.5182219,0.86325443,-8.740629
1.99,-1.5182219,0.86325443,-8.097759
2.04,-1.5182219,0.86325443,-8.095083
2.09,-1.5182219,0.86325443,-8.489905
2.14,-1.5182219,0.86325443,-9.110657
-2.16,-1.4682219,0.86325443,-10.878231
-2.11,-1.4682219,0.86325443,-10.771007
-2.06,-1.4682219,0.86325443,-11.052515
