x,y,z,d
-2.16,-1.5182219,1.31325443,-6.2591043
-2.11,-1.5182219,1.31325443,-5.854813
-2.06,-1.5182219,1.31325443,-5.238011
-2.01,-1.5182219,1.31325443,-5.2368307
-1.96,-1.5182219,1.31325443,-6.412486
-1.91,-1.5182219,1.31325443,-5.2897468
-1.86,-1.5182219,1.31325443,-4.9067974
-1.81,-1.5182219,1.31325443,-5.319118
-1.76,-1.5182219,1.31325443,-5.6530724
-1.71,-1.5182219,1.31325443,-5.4028373
-1.66,-1.5182219,1.31325443,-5.5695558
-1.61,-1.5182219,1.31325443,-5.5424595
-1.56,-1.5182219,1.31325443,-5.8836174
-1.51,-1.5182219,1.31325443,-5.8914766
-1.46,-1.5182219,1.31325443,-5.063055
-1.41,-1.5182219,1.31325443,-5.726266
-1.36,-1.5182219,1.31325443,-5.2047725
-1.31,-1.5182219,1.31325443,-4.822264
-1.26,-1.5182219,1.31325443,-4.9283357
-1.21,-1.5182219,1.31325443,-5.415782
-1.16,-1.5182219,1.31325443,-5.3110056
-1.11,-1.5182219,1.31325443,-4.3239675
-1.06,-1.5182219,1.31325443,-4.0532613
-1.01,-1.5182219,1.31325443,-4.5396314
-0.96,-1.5182219,1.31325443,-4.457567
-0.91,-1.5182219,1.31325443,-4.8507857
-0.86,-1.5182219,1.31325443,-3.741523
-0.81,-1.5182219,1.31325443,-5.446856
-0.76,-1.5182219,1.31325443,-5.0600924
-0.71,-1.5182219,1.31325443,-5.221546
-0.66,-1.5182219,1.31325443,-4.767916
-0.61,-1.5182219,1.31325443,-6.0679045
-0.56,-1.5182219,1.31325443,-5.3655505
-0.51,-1.5182219,1.31325443,-5.313904
-0.46,-1.5182219,1.31325443,-4.5157504
-0.41,-1.5182219,1.31325443,-5.488887
-0.36,-1.5182219,1.31325443,-3.9672291
-0.31,-1.5182219,1.31325443,-3.5804288
-0.26,-1.5182219,1.31325443,-3.4361732
-0.21,-1.5182219,1.31325443,-4.5532765
-0.16,-1.5182219,1.31325443,-3.7059433
-0.11,-1.5182219,1.31325443,-4.5767913
