x,y,z
-0.07612631,0.23054615,-0.20727658
-0.048069388,0.2459544,-0.41538417
-0.034144193,0.2536018,-0.5186721
-0.022702008,0.2598856,-0.6035427
-0.0031006336,0.27065027,-0.7489327
0.031674296,0.2897479,-1.0068702
0.053373516,0.3016646,-1.1678203
0.061484665,0.30611908,-1.2279836
0.08279827,0.31782404,-1.386074
0.101863414,0.3282942,-1.5274864
0.13223916,0.3449759,-1.7527937
0.13981006,0.34913367,-1.8089496
0.16638434,0.3637277,-2.0060601
0.19177309,0.37767062,-2.194377
0.20529836,0.3850984,-2.2946987
0.21451873,0.39016202,-2.363089
0.23534578,0.4015998,-2.5175705
0.26688635,0.41892114,-2.7515173
0.29065913,0.43197665,-2.9278479
0.29955035,0.43685952,-2.9937973
0.32686067,0.45185775,-3.1963673
0.34613526,0.46244293,-3.3393335
0.37342805,0.4774315,-3.5417728
0.37489814,0.47823885,-3.5526772
0.41322958,0.49928966,-3.8369946
0.4345113,0.5109771,-3.9948483
0.44652122,0.5175727,-4.08393
0.45765847,0.52368903,-4.1665382
0.49121046,0.54211503,-4.415405
0.49670225,0.54513097,-4.4561396
0.5212838,0.55863065,-4.638469
0.53969556,0.568742,-4.7750354
0.55827594,0.57894593,-4.9128523
0.5904061,0.5965911,-5.1511726
0.6037406,0.60391414,-5.250079
0.6231556,0.6145764,-5.394087
0.63770115,0.6225645,-5.501976
0.67215705,0.6414869,-5.7575474
0.68724436,0.6497725,-5.8694544
0.7137148,0.6643095,-6.0657945
0.7161055,0.6656225,-6.083528
0.7474978,0.6828624,-6.316375
0.77021956,0.69534075,-6.48491
0.7925246,0.7075901,-6.6503534
0.7986877,0.7109748,-6.696068
0.83390236,0.7303139,-6.957267
0.848735,0.7384597,-7.0672855
0.87179196,0.751122,-7.238306
0.88412917,0.7578974,-7.329817
0.9144238,0.77453446,-7.5545216
0.9172329,0.77607715,-7.5753574
0.9474896,0.7926935,-7.799782
0.96469116,0.80214024,-7.927372
0.9815775,0.8114139,-8.052624
1.0065637,0.8251357,-8.237954
1.0341446,0.84028256,-8.442532
1.038549,0.8427013,-8.4752
1.0668666,0.85825276,-8.685242
1.0810846,0.866061,-8.790701
1.115177,0.88478374,-9.043576
1.1323148,0.89419544,-9.170693
1.1381457,0.89739764,-9.213943
1.1617503,0.9103608,-9.389027
1.186277,0.9238303,-9.570949
