x,y,z,d
-2.16,-1.5182219,0.56325443,-5.1050673
-2.11,-1.5182219,0.56325443,-5.127046
-2.06,-1.5182219,0.56325443,-3.21
-2.01,-1.5182219,0.56325443,-3.750983
-1.96,-1.5182219,0.56325443,-4.2403336
-1.91,-1.5182219,0.56325443,-4.295778
-1.86,-1.5182219,0.56325443,-3.773801
-1.81,-1.5182219,0.56325443,-4.6316767
-1.76,-1.5182219,0.56325443,-5.512141
-1.71,-1.5182219,0.56325443,-5.7657685
-1.66,-1.5182219,0.56325443,-5.011694
-1.61,-1.5182219,0.56325443,-5.78678
-1.56,-1.5182219,0.56325443,-6.8190293
-1.51,-1.5182219,0.56325443,-5.387277
-1.46,-1.5182219,0.56325443,-4.684872
-1.41,-1.5182219,0.56325443,-4.6765604
-1.36,-1.5182219,0.56325443,-4.683483
-1.31,-1.5182219,0.56325443,-4.365741
-1.26,-1.5182219,0.56325443,-3.826615
-1.21,-1.5182219,0.56325443,-3.7743123
-1.16,-1.5182219,0.56325443,-4.9114666
-1.11,-1.5182219,0.56325443,-3.4695585
-1.06,-1.5182219,0.56325443,-2.630182
-1.01,-1.5182219,0.56325443,-3.5464125
-0.96,-1.5182219,0.56325443,-3.7673397
-0.91,-1.5182219,0.56325443,-2.6705475
-0.86,-1.5182219,0.56325443,-1.876601
-0.81,-1.5182219,0.56325443,-3.2920675
-0.76,-1.5182219,0.56325443,-2.814229
-0.71,-1.5182219,0.56325443,-1.5932294
-0.66,-1.5182219,0.56325443,-1.9524419
-0.61,-1.5182219,0.56325443,-3.0567083
-0.56,-1.5182219,0.56325443,-3.0437486
-0.51,-1.5182219,0.56325443,-2.1554272
-0.46,-1.5182219,0.56325443,-1.6704366
-0.41,-1.5182219,0.56325443,-1.680528
-0.36,-1.5182219,0.56325443,-1.5005213
-0.31,-1.5182219,0.56325443,-1.89766
-0.26,-1.5182219,0.56325443,-1.6709315
-0.21,-1.5182219,0.56325443,-2.482263
-0.16,-1.5182219,0.56325443,-2.438808
-0.11,-1.5182219,0.56325443,-2.1284132
-0.06,-1.5182219,0.56325443,-1.8416536
-0.01,-1.5182219,0.56325443,-3.2060297
0.04,-1.5182219,0.56325443,-2.2357688
0.09,-1.5182219,0.56325443,-2.5188816
0.14,-1.5182219,0.56325443,-1.7744185
0.19,-1.5182219,0.56325443,-2.4487805
0.24,-1.5182219,0.56325443,-2.076191
0.29,-1.5182219,0.56325443,-1.5490214
0.34,-1.5182219,0.56325443,-1.2418356
0.39,-1.5182219,0.56325443,-2.720822
0.44,-1.5182219,0.56325443,-2.4269493
0.49,-1.5182219,0.56325443,-1.378555
0.54,-1.5182219,0.56325443,-2.7145088
0.59,-1.5182219,0.56325443,-2.791697
0.64,-1.5182219,0.56325443,-2.5161965
0.69,-1.5182219,0.56325443,-1.432482
0.74,-1.5182219,0.56325443,-2.928204
0.79,-1.5182219,0.56325443,-5.1817
0.84,-1.5182219,0.56325443,-3.8786538
0.89,-1.5182219,0.56325443,-2.543055
0.94,-1.5182219,0.56325443,-4.6744823
0.99,-1.5182219,0.56325443,-5.10893
1.04,-1.5182219,0.56325443,-3.1288574
1.09,-1.5182219,0.56325443,-2.8985376
1.14,-1.5182219,0.56325443,-4.6902013
1.19,-1.5182219,0.56325443,-5.0607944
1.24,-1.5182219,0.56325443,-3.4309936
1.29,-1.5182219,0.56325443,-3.8649924
1.34,-1.5182219,0.56325443,-5.174154
1.39,-1.5182219,0.56325443,-5.511665
1.44,-1.5182219,0.56325443,-4.173525
1.49,-1.5182219,0.56325443,-4.2650723
1.54,-1.5182219,0.56325443,-5.8484116
1.59,-1.5182219,0.56325443,-6.625053
1.64,-1.5182219,0.56325443,-5.189942
1.69,-1.5182219,0.56325443,-4.716389
1.74,-1.5182219,0.56325443,-5.2472854
1.79,-1.5182219,0.56325443,-4.9675865
1.84,-1.5182219,0.56325443,-3.0845923
1.89,-1.5182219,0.56325443,-3.4548855
1.94,-1.5182219,0.56325443,-5.0323877
1.99,-1.5182219,0.56325443,-5.29483
2.04,-1.5182219,0.56325443,-3.0271525
2.09,-1.5182219,0.56325443,-4.3541045
2.14,-1.5182219,0.56325443,-5.831227
-2.16,-1.4682219,0.56325443,-6.437908
-2.11,-1.4682219,0.56325443,-6.2700224
-2.06,-1.4682219,0.56325443,-5.0595875
-2.01,-1.4682219,0.56325443,-5.7981977
-1.96,-1.4682219,0.56325443,-6.187949
-1.91,-1.4682219,0.56325443,-4.617213
-1.86,-1.4682219,0.56325443,-5.1049747
-1.81,-1.4682219,0.56325443,-6.5872235
-1.76,-1.4682219,0.56325443,-6.315596
-1.71,-1.4682219,0.56325443,-6.2947774
-1.66,-1.4682219,0.56325443,-5.915415
-1.61,-1.4682219,0.56325443,-6.1404047
-1.56,-1.4682219,0.56325443,-6.6178913
-1.51,-1.4682219,0.56325443,-6.0912013
-1.46,-1.4682219,0.56325443,-5.9873595
-1.41,-1.4682219,0.56325443,-6.0273776
-1.36,-1.4682219,0.56325443,-6.0983844
-1.31,-1.4682219,0.56325443,-5.4988785
-1.26,-1.4682219,0.56325443,-5.367837
-1.21,-1.4682219,0.56325443,-4.839362
-1.16,-1.4682219,0.56325443,-4.84313
-1.11,-1.4682219,0.56325443,-3.899155
-1.06,-1.4682219,0.56325443,-3.9184983
-1.01,-1.4682219,0.56325443,-4.9057136
-0.96,-1.4682219,0.56325443,-4.7091007
-0.91,-1.4682219,0.56325443,-3.6799593
-0.86,-1.4682219,0.56325443,-3.4316578
-0.81,-1.4682219,0.56325443,-4.682765
-0.76,-1.4682219,0.56325443,-4.259222
-0.71,-1.4682219,0.56325443,-2.9155777
-0.66,-1.4682219,0.56325443,-3.4037018
-0.61,-1.4682219,0.56325443,-5.202242
-0.56,-1.4682219,0.56325443,-4.5778675
-0.51,-1.4682219,0.56325443,-4.577418
-0.46,-1.4682219,0.56325443,-3.7325628
-0.41,-1.4682219,0.56325443,-2.8958168
-0.36,-1.4682219,0.56325443,-1.76019
-0.31,-1.4682219,0.56325443,-2.8411665
-0.26,-1.4682219,0.56325443,-3.5994363
-0.21,-1.4682219,0.56325443,-4.052863
-0.16,-1.4682219,0.56325443,-3.3588216
-0.11,-1.4682219,0.56325443,-3.1808624
-0.06,-1.4682219,0.56325443,-3.556601
-0.01,-1.4682219,0.56325443,-4.2776904
0.04,-1.4682219,0.56325443,-3.6388829
0.09,-1.4682219,0.56325443,-3.88808
0.14,-1.4682219,0.56325443,-3.423244
0.19,-1.4682219,0.56325443,-4.366753
0.24,-1.4682219,0.56325443,-3.4344335
0.29,-1.4682219,0.56325443,-3.0240605
0.34,-1.4682219,0.56325443,-1.4747274
0.39,-1.4682219,0.56325443,-2.7519436
0.44,-1.4682219,0.56325443,-2.876379
0.49,-1.4682219,0.56325443,-2.0778317
0.54,-1.4682219,0.56325443,-3.431043
0.59,-1.4682219,0.56325443,-3.7840137
0.64,-1.4682219,0.56325443,-3.426187
0.69,-1.4682219,0.56325443,-2.3987336
0.74,-1.4682219,0.56325443,-3.934902
0.79,-1.4682219,0.56325443,-5.589936
0.84,-1.4682219,0.56325443,-4.892665
0.89,-1.4682219,0.56325443,-3.7441075
0.94,-1.4682219,0.56325443,-6.294286
0.99,-1.4682219,0.56325443,-6.430633
1.04,-1.4682219,0.56325443,-5.765405
1.09,-1.4682219,0.56325443,-5.1532884
1.14,-1.4682219,0.56325443,-5.5927935
1.19,-1.4682219,0.56325443,-6.2058597
1.24,-1.4682219,0.56325443,-5.007152
1.29,-1.4682219,0.56325443,-5.6710963
1.34,-1.4682219,0.56325443,-6.5272684
1.39,-1.4682219,0.56325443,-6.9686627
1.44,-1.4682219,0.56325443,-5.8359237
1.49,-1.4682219,0.56325443,-5.9441595
1.54,-1.4682219,0.56325443,-6.4999833
1.59,-1.4682219,0.56325443,-7.028224
1.64,-1.4682219,0.56325443,-6.239065
1.69,-1.4682219,0.56325443,-6.3561387
1.74,-1.4682219,0.56325443,-6.8690395
1.79,-1.4682219,0.56325443,-5.8924294
1.84,-1.4682219,0.56325443,-5.045925
1.89,-1.4682219,0.56325443,-4.7703395
1.94,-1.4682219,0.56325443,-5.591923
1.99,-1.4682219,0.56325443,-5.9613333
2.04,-1.4682219,0.56325443,-4.477224
2.09,-1.4682219,0.56325443,-5.4779215
2.14,-1.4682219,0.56325443,-6.102947
-2.16,-1.4182219,0.56325443,-7.8790336
-2.11,-1.4182219,0.56325443,-6.9314265
-2.06,-1.4182219,0.56325443,-6.9568486
-2.01,-1.4182219,0.56325443,-7.062277
-1.96,-1.4182219,0.56325443,-6.8089395
-1.91,-1.4182219,0.56325443,-5.419753
-1.86,-1.4182219,0.56325443,-6.2129965
-1.81,-1.4182219,0.56325443,-7.055477
-1.76,-1.4182219,0.56325443,-6.717604
-1.71,-1.4182219,0.56325443,-6.492221
-1.66,-1.4182219,0.56325443,-6.734565
-1.61,-1.4182219,0.56325443,-7.1448464
-1.56,-1.4182219,0.56325443,-6.915179
-1.51,-1.4182219,0.56325443,-6.7109003
-1.46,-1.4182219,0.56325443,-5.903539
-1.41,-1.4182219,0.56325443,-7.1559453
-1.36,-1.4182219,0.56325443,-6.4825354
-1.31,-1.4182219,0.56325443,-5.6353
-1.26,-1.4182219,0.56325443,-6.5982585
-1.21,-1.4182219,0.56325443,-6.064001
-1.16,-1.4182219,0.56325443,-5.608502
-1.11,-1.4182219,0.56325443,-4.802599
-1.06,-1.4182219,0.56325443,-4.7685294
-1.01,-1.4182219,0.56325443,-5.4196305
-0.96,-1.4182219,0.56325443,-4.6956205
-0.91,-1.4182219,0.56325443,-4.4484906
-0.86,-1.4182219,0.56325443,-5.298617
-0.81,-1.4182219,0.56325443,-5.6518083
-0.76,-1.4182219,0.56325443,-5.082914
-0.71,-1.4182219,0.56325443,-5.110146
-0.66,-1.4182219,0.56325443,-5.6881175
-0.61,-1.4182219,0.56325443,-6.7001257
-0.56,-1.4182219,0.56325443,-5.3305006
-0.51,-1.4182219,0.56325443,-5.5162926
-0.46,-1.4182219,0.56325443,-4.911507
-0.41,-1.4182219,0.56325443,-4.0966444
-0.36,-1.4182219,0.56325443,-3.4184194
-0.31,-1.4182219,0.56325443,-3.6160264
-0.26,-1.4182219,0.56325443,-4.3775187
-0.21,-1.4182219,0.56325443,-4.373611
-0.16,-1.4182219,0.56325443,-4.3361807
-0.11,-1.4182219,0.56325443,-4.3070726
