x,y,z,d
-2.16,-1.5182219,1.01325443,-7.670857
-2.11,-1.5182219,1.01325443,-8.180351
-2.06,-1.5182219,1.01325443,-7.047433
-2.01,-1.5182219,1.01325443,-6.4224343
-1.96,-1.5182219,1.01325443,-6.0414457
-1.91,-1.5182219,1.01325443,-6.57884
-1.86,-1.5182219,1.01325443,-6.310349
-1.81,-1.5182219,1.01325443,-6.522368
-1.76,-1.5182219,1.01325443,-6.6543536
-1.71,-1.5182219,1.01325443,-6.5659556
-1.66,-1.5182219,1.01325443,-5.6473513
-1.61,-1.5182219,1.01325443,-6.5012364
-1.56,-1.5182219,1.01325443,-7.0450354
-1.51,-1.5182219,1.01325443,-6.57716
-1.46,-1.5182219,1.01325443,-5.039147
-1.41,-1.5182219,1.01325443,-5.86431
-1.36,-1.5182219,1.01325443,-5.6399007
-1.31,-1.5182219,1.01325443,-5.5399547
-1.26,-1.5182219,1.01325443,-5.322549
-1.21,-1.5182219,1.01325443,-5.73821
-1.16,-1.5182219,1.01325443,-5.434886
-1.11,-1.5182219,1.01325443,-5.540595
-1.06,-1.5182219,1.01325443,-6.107727
-1.01,-1.5182219,1.01325443,-5.567991
-0.96,-1.5182219,1.01325443,-5.851691
-0.91,-1.5182219,1.01325443,-5.8408656
-0.86,-1.5182219,1.01325443,-5.343442
-0.81,-1.5182219,1.01325443,-5.1714115
-0.76,-1.5182219,1.01325443,-5.5232773
-0.71,-1.5182219,1.01325443,-5.6594434
-0.66,-1.5182219,1.01325443,-5.7912054
-0.61,-1.5182219,1.01325443,-6.1699243
-0.56,-1.5182219,1.01325443,-6.110539
-0.51,-1.5182219,1.01325443,-5.1194735
-0.46,-1.5182219,1.01325443,-4.0737276
-0.41,-1.5182219,1.01325443,-3.731144
-0.36,-1.5182219,1.01325443,-3.0329816
-0.31,-1.5182219,1.01325443,-3.6808076
-0.26,-1.5182219,1.01325443,-3.205079
-0.21,-1.5182219,1.01325443,-3.9492457
-0.16,-1.5182219,1.01325443,-3.0807853
-0.11,-1.5182219,1.01325443,-3.447285
-0.06,-1.5182219,1.01325443,-3.26414
-0.01,-1.5182219,1.01325443,-3.8704493
0.04,-1.5182219,1.01325443,-3.1946278
0.09,-1.5182219,1.01325443,-3.2471507
0.14,-1.5182219,1.01325443,-2.9500804
0.19,-1.5182219,1.01325443,-4.2597704
0.24,-1.5182219,1.01325443,-3.5463707
0.29,-1.5182219,1.01325443,-3.056775
0.34,-1.5182219,1.01325443,-2.9334993
0.39,-1.5182219,1.01325443,-3.7231214
0.44,-1.5182219,1.01325443,-3.8974826
0.49,-1.5182219,1.01325443,-3.774786
0.54,-1.5182219,1.01325443,-4.562
0.59,-1.5182219,1.01325443,-5.6552563
0.64,-1.5182219,1.01325443,-5.1441436
0.69,-1.5182219,1.01325443,-5.488788
0.74,-1.5182219,1.01325443,-6.7332387
0.79,-1.5182219,1.01325443,-6.9097714
0.84,-1.5182219,1.01325443,-7.446851
0.89,-1.5182219,1.01325443,-7.5381374
0.94,-1.5182219,1.01325443,-8.677978
0.99,-1.5182219,1.01325443,-8.973017
1.04,-1.5182219,1.01325443,-8.715229
1.09,-1.5182219,1.01325443,-7.9496017
1.14,-1.5182219,1.01325443,-7.9646792
1.19,-1.5182219,1.01325443,-8.829827
1.24,-1.5182219,1.01325443,-8.759983
1.29,-1.5182219,1.01325443,-7.8959794
1.34,-1.5182219,1.01325443,-8.306602
1.39,-1.5182219,1.01325443,-8.774796
1.44,-1.5182219,1.01325443,-8.925353
1.49,-1.5182219,1.01325443,-8.010382
1.54,-1.5182219,1.01325443,-8.983592
1.59,-1.5182219,1.01325443,-8.996747
1.64,-1.5182219,1.01325443,-9.305948
1.69,-1.5182219,1.01325443,-8.12319
1.74,-1.5182219,1.01325443,-8.944392
1.79,-1.5182219,1.01325443,-8.854116
1.84,-1.5182219,1.01325443,-8.734891
1.89,-1.5182219,1.01325443,-8.065308
1.94,-1.5182219,1.01325443,-8.637904
1.99,-1.5182219,1.01325443,-9.43373
2.04,-1.5182219,1.01325443,-8.583313
2.09,-1.5182219,1.01325443,-9.717422
2.14,-1.5182219,1.01325443,-9.983808
-2.16,-1.4682219,1.01325443,-8.188762
-2.11,-1.4682219,1.01325443,-8.248268
-2.06,-1.4682219,1.01325443,-7.118579
-2.01,-1.4682219,1.01325443,-6.2734447
