x,y,z,d
-2.16,-1.5182219,0.41325443,-4.3242497
-2.11,-1.5182219,0.41325443,-4.0385985
-2.06,-1.5182219,0.41325443,-3.1389065
-2.01,-1.5182219,0.41325443,-3.7598224
-1.96,-1.5182219,0.41325443,-3.9021657
-1.91,-1.5182219,0.41325443,-4.3744793
-1.86,-1.5182219,0.41325443,-3.9700367
-1.81,-1.5182219,0.41325443,-4.9689264
-1.76,-1.5182219,0.41325443,-5.837305
-1.71,-1.5182219,0.41325443,-5.3452888
-1.66,-1.5182219,0.41325443,-4.682097
-1.61,-1.5182219,0.41325443,-5.372706
-1.56,-1.5182219,0.41325443,-5.261769
-1.51,-1.5182219,0.41325443,-4.893477
-1.46,-1.5182219,0.41325443,-3.979881
-1.41,-1.5182219,0.41325443,-3.8918073
-1.36,-1.5182219,0.41325443,-4.369527
-1.31,-1.5182219,0.41325443,-4.0328426
-1.26,-1.5182219,0.41325443,-2.5983527
-1.21,-1.5182219,0.41325443,-4.177253
-1.16,-1.5182219,0.41325443,-3.63399
-1.11,-1.5182219,0.41325443,-3.4097917
-1.06,-1.5182219,0.41325443,-2.333975
-1.01,-1.5182219,0.41325443,-3.7128441
-0.96,-1.5182219,0.41325443,-3.9482954
-0.91,-1.5182219,0.41325443,-2.671013
-0.86,-1.5182219,0.41325443,-1.7308645
-0.81,-1.5182219,0.41325443,-3.1839294
-0.76,-1.5182219,0.41325443,-2.417886
-0.71,-1.5182219,0.41325443,-1.3450623
-0.66,-1.5182219,0.41325443,-1.86216
-0.61,-1.5182219,0.41325443,-2.8823633
-0.56,-1.5182219,0.41325443,-2.6970944
-0.51,-1.5182219,0.41325443,-1.8283594
-0.46,-1.5182219,0.41325443,-1.0672226
-0.41,-1.5182219,0.41325443,-1.2785535
-0.36,-1.5182219,0.41325443,-0.86205935
-0.31,-1.5182219,0.41325443,-1.000367
-0.26,-1.5182219,0.41325443,-2.2241864
-0.21,-1.5182219,0.41325443,-2.9470804
-0.16,-1.5182219,0.41325443,-3.1158023
-0.11,-1.5182219,0.41325443,-1.5594586
-0.06,-1.5182219,0.41325443,-1.9386804
-0.01,-1.5182219,0.41325443,-2.3856938
0.04,-1.5182219,0.41325443,-2.0541084
0.09,-1.5182219,0.41325443,-1.6630192
0.14,-1.5182219,0.41325443,-2.5039341
0.19,-1.5182219,0.41325443,-3.1914504
0.24,-1.5182219,0.41325443,-2.122359
0.29,-1.5182219,0.41325443,-0.75387204
0.34,-1.5182219,0.41325443,-0.6932755
0.39,-1.5182219,0.41325443,-1.6109444
0.44,-1.5182219,0.41325443,-1.6595081
0.49,-1.5182219,0.41325443,-1.8247012
0.54,-1.5182219,0.41325443,-2.7442071
0.59,-1.5182219,0.41325443,-3.929345
0.64,-1.5182219,0.41325443,-3.0908253
0.69,-1.5182219,0.41325443,-2.6370103
0.74,-1.5182219,0.41325443,-3.4316826
0.79,-1.5182219,0.41325443,-5.090064
0.84,-1.5182219,0.41325443,-4.4782333
0.89,-1.5182219,0.41325443,-4.367633
0.94,-1.5182219,0.41325443,-5.9118443
0.99,-1.5182219,0.41325443,-6.1083922
1.04,-1.5182219,0.41325443,-4.1360583
1.09,-1.5182219,0.41325443,-3.4207482
1.14,-1.5182219,0.41325443,-4.1635756
1.19,-1.5182219,0.41325443,-5.255198
1.24,-1.5182219,0.41325443,-4.4880795
1.29,-1.5182219,0.41325443,-4.9928894
1.34,-1.5182219,0.41325443,-6.259541
1.39,-1.5182219,0.41325443,-6.8673453
1.44,-1.5182219,0.41325443,-5.3394976
1.49,-1.5182219,0.41325443,-5.7132707
1.54,-1.5182219,0.41325443,-6.2587543
1.59,-1.5182219,0.41325443,-7.205109
1.64,-1.5182219,0.41325443,-6.223981
1.69,-1.5182219,0.41325443,-6.9521484
1.74,-1.5182219,0.41325443,-7.0485344
1.79,-1.5182219,0.41325443,-5.403166
1.84,-1.5182219,0.41325443,-4.546429
1.89,-1.5182219,0.41325443,-3.8359525
1.94,-1.5182219,0.41325443,-4.81047
1.99,-1.5182219,0.41325443,-5.389066
2.04,-1.5182219,0.41325443,-4.4417863
2.09,-1.5182219,0.41325443,-5.886392
2.14,-1.5182219,0.41325443,-6.9266067
-2.16,-1.4682219,0.41325443,-5.4460373
-2.11,-1.4682219,0.41325443,-4.450402
-2.06,-1.4682219,0.41325443,-4.431468
-2.01,-1.4682219,0.41325443,-4.372652
-1.96,-1.4682219,0.41325443,-4.623721
-1.91,-1.4682219,0.41325443,-4.4610143
-1.86,-1.4682219,0.41325443,-5.205584
-1.81,-1.4682219,0.41325443,-5.8350797
-1.76,-1.4682219,0.41325443,-5.6223273
-1.71,-1.4682219,0.41325443,-5.2644134
-1.66,-1.4682219,0.41325443,-4.872776
-1.61,-1.4682219,0.41325443,-5.487664
-1.56,-1.4682219,0.41325443,-5.2035394
