r,g,b,d
[113.43352 118.46626 120.72435 -20.19315]
[132.29062  138.95663  144.30905  -23.719666]
[111.59272 117.0843  121.30951 -21.92157]
[109.43658  115.46375  120.412285 -20.424665]
[112.33046  118.36009  123.37939  -19.281483]
[104.51091  108.97279  111.579926 -19.021908]
[ 71.915245  74.30915   75.38392  -13.46438 ]
[ 61.47623   63.532997  64.22006  -14.035426]
[ 60.087124  61.10505   60.63031  -12.502788]
[38.207825 39.157646 39.517925 -8.296639]
[33.16757   33.85601   33.996258  -6.6489635]
[25.126625 25.745884 25.883068 -6.560329]
[32.711548 31.755596 29.784197 -7.57836 ]
[16.45076   16.482883  15.828609  -4.9734006]
[ 55.688274  57.181976  58.328014 -12.125888]
[31.972752  31.05714   30.01566   -6.5000224]
[21.027647  20.730543  19.605139  -4.2058825]
[43.03731  44.397438 45.134586 -8.979275]
[30.031336 30.606243 30.255539 -8.297132]
[24.029716 25.347866 26.69379  -7.270165]
[ 40.43458   42.097107  42.850307 -11.544045]
[37.653393 39.344513 40.71915  -9.253385]
[15.7820015 16.344513  17.128313  -4.8098817]
[15.446456  16.276783  17.951757  -7.2039704]
[28.24584  29.780354 32.01653  -9.444085]
[ 9.285792  9.648458 10.203433 -5.134476]
[ 7.2677298  7.246511   7.5833282 -6.2473383]
[19.807634 20.475243 21.40872  -8.726665]
[ 5.4562917  5.194017   4.5976872 -3.3044477]
[ 3.5923996  3.300402   3.0468316 -2.860062 ]
[17.161814 17.390667 17.558218 -4.37923 ]
[15.626531  15.527989  14.633743  -4.9540896]
[ 7.0407104  6.703901   5.7863226 -3.2187414]
[ 9.960849   9.74123    9.0654955 -3.523239 ]
[ 9.818467   9.653468   9.163051  -2.9440272]
[ 8.083154   7.9075603  7.4580216 -2.7893932]
[ 6.6843815  6.3649125  5.581698  -2.8540685]
[ 4.6810045  3.4136622  1.611621  -2.7644713]
[ 4.6744356  3.1244354  1.1769345 -3.5094478]
[ 9.409063  9.522467  9.504322 -4.03758 ]
[16.35147  17.029865 18.195553 -5.948009]
[14.483905  13.812824  13.2802105 -4.48758  ]
[ 8.046169  7.737724  7.366047 -3.858507]
[ 8.01321    7.6674595  7.1085024 -3.8141687]
[ 8.295203   7.7575765  6.660849  -3.588037 ]
[10.046771  9.507958  8.384504 -3.724492]
[13.585125  13.229823  12.303564  -4.3256755]
[13.446454  13.27535   12.610333  -4.3435006]
[10.566744  10.40787    9.843248  -4.2492423]
[ 8.791545  8.601247  8.059277 -4.151093]
[ 6.503538   6.2360406  5.642447  -3.924256 ]
[ 5.7340274  5.4455485  4.926642  -3.6366956]
[ 7.1455746  6.722878   5.9804893 -3.562198 ]
[ 7.394451   6.8883185  5.979203  -3.771938 ]
[ 8.233955   7.640977   6.6700044 -4.0952215]
[ 9.292658   8.451049   7.3547115 -4.356873 ]
[10.622045   9.592034   8.211706  -4.1458845]
[10.866563   9.710198   8.157544  -4.0746956]
[11.062987  9.808764  8.098564 -4.001596]
[11.166678   9.78815    7.8886642 -3.9216878]
[11.2944     9.714815   7.621512  -3.8519533]
[11.5278845  9.645881   7.3532786 -3.808272 ]
[11.681806   9.538041   7.069141  -3.7297213]
[11.540435  9.296332  6.773062 -3.634007]
[11.388305   9.095618   6.5869308 -3.5738313]
[11.224794   8.990851   6.5631366 -3.5701644]
[11.073147   8.888267   6.5474267 -3.5529697]
[10.868734   8.720899   6.498646  -3.5427554]
[10.714595   8.606579   6.500073  -3.5420978]
[10.650176   8.547445   6.54557   -3.5157516]
[10.586011  8.489812  6.610231 -3.509565]
[10.308448   8.304004   6.5820284 -3.502055 ]
[10.061519   8.0851755  6.4314647 -3.458402 ]
[ 9.92124    7.890287   6.2420325 -3.4060252]
[ 9.915439   7.900932   6.2799563 -3.3809407]
[ 9.718194   7.7705503  6.157841  -3.368488 ]
[ 9.476525   7.640017   6.0658917 -3.3446896]
[ 9.290598   7.6510825  6.1860943 -3.3203523]
[ 9.088433   7.708048   6.3787627 -3.2848003]
[ 8.867312   7.7603498  6.551041  -3.2244465]
[ 8.785523   7.9189324  6.8197956 -3.1728675]
[ 8.614949   7.9238887  6.923511  -3.118077 ]
[ 8.645038   8.146885   7.2633204 -3.1128657]
[ 8.750394   8.370173   7.6289363 -3.1246028]
[ 8.916856   8.619564   8.050772  -3.1520598]
[ 9.05066    8.814927   8.387718  -3.1752758]
[ 9.135959   8.943629   8.61938   -3.1800234]
[ 9.263362   9.139836   8.948948  -3.1731627]
[ 9.325639  9.244458  9.132486 -3.157138]
[ 9.265019   9.224164   9.1906395 -3.1263258]
[ 9.273074   9.277696   9.331371  -3.0989635]
[ 9.251459   9.288867   9.399842  -3.0561998]
[ 9.192795   9.245183   9.385719  -3.0348284]
[ 9.095571   9.157319   9.328543  -3.0189486]
[ 9.322057   9.4101715  9.643284  -2.982962 ]
[ 9.382379   9.475585   9.712055  -2.9582956]
[ 9.332805  9.417605  9.65029  -2.956882]
[ 9.2153635  9.293677   9.524512  -2.9684393]
[ 9.008899   9.08442    9.319979  -2.9990847]
[ 8.914062   8.99443    9.2386875 -3.040243 ]
[ 9.036994   9.134126   9.409061  -3.0854099]
[ 9.475179   9.604798   9.9574795 -3.121398 ]
[ 9.955724  10.1093855 10.50355   -3.170763 ]
[10.376353  10.543666  10.9532385 -3.2126935]
[10.562186 10.724612 11.116175 -3.230206]
[10.241078  10.371403  10.698994  -3.1692014]
[10.071026  10.17477   10.454069  -3.0924408]
[ 9.963104  10.037757  10.267179  -3.0176923]
[ 9.823802  9.877925 10.056501 -2.965017]
[ 9.663627  9.709738  9.855337 -2.906006]
[ 9.469796   9.515583   9.626179  -2.8462362]
[ 9.337841  9.361257  9.387714 -2.801294]
[ 9.334733   9.340482   9.316164  -2.7543566]
[ 9.502253   9.485284   9.409435  -2.7070694]
[ 9.87111    9.818726   9.672753  -2.6798704]
[10.041024   9.964078   9.660083  -2.6454651]
[10.236298  10.162175   9.787281  -2.6311963]
[10.386926  10.31475    9.879281  -2.6341796]
[10.369664  10.303742   9.817902  -2.6209345]
[10.314904  10.247682   9.738043  -2.5810626]
[10.278512  10.217765   9.730524  -2.5089517]
[10.323075  10.268623   9.844641  -2.3975475]
[10.532193  10.518006  10.257725  -2.2604752]
[10.298774  10.365843  10.348301  -2.1433017]
[ 9.793772   9.853692   9.938089  -1.9919103]
[ 8.885139   8.893061   9.040818  -1.8461286]
[ 7.8444023  7.8168483  7.9992642 -1.7029328]
[ 7.17451    7.1247764  7.2826943 -1.6050856]
[ 6.5099277  6.385962   6.433565  -1.4392594]
[ 4.8938494  4.727942   4.647497  -1.3465177]
[ 3.94561    3.7881815  3.756331  -1.2352716]
[ 3.8129091  3.6140804  3.5230207 -1.1771654]
[ 3.931295   3.6501853  3.2891705 -1.4747127]
[ 5.436536   5.2081504  4.8220572 -2.2417867]
[ 6.887867   6.780271   6.480026  -2.5150874]
[ 8.1662035  8.100136   7.68758   -2.7769635]
[ 8.258253   8.189395   7.694683  -2.8113499]
[ 9.019388   9.024596   8.639884  -2.5924485]
[ 9.237279  9.321212  9.138705 -2.350191]
[13.298995 13.536337 13.893215 -2.637695]
[14.658345  15.034417  15.701479  -2.4310594]
[13.7417965 14.131137  14.952412  -2.047923 ]
[10.768918  11.020058  11.819128  -1.5796622]
[ 8.456362   8.48784    8.934755  -1.4776937]
[ 6.605095   6.3751655  6.2654824 -1.3989679]
[ 5.0539618  4.669421   3.9503028 -1.2960173]
[ 3.822319   3.2236269  2.0780444 -1.1101738]
[ 3.583932   2.9440846  1.5972221 -1.1762794]
[ 3.6121268  2.905101   1.4814966 -1.2871166]
[ 3.9433045  3.2557783  1.9560513 -1.3927913]
[ 4.243172   3.6043384  2.4738538 -1.4423386]
[ 4.075328   3.3796833  2.0962396 -1.2093138]
[ 3.4571552  2.7977564  1.4308513 -1.1841007]
[ 3.1804247  2.6956537  1.508821  -1.3506119]
[ 2.9202418  2.543957   1.5433798 -1.5625013]
[ 2.8146052  2.4707263  1.5495524 -1.6676373]
[ 2.9530625  2.6404939  1.855724  -1.9159572]
[ 2.9150667  2.6000557  1.901622  -2.0886257]
[ 1.7974354   1.4452329   0.90514207 -2.1262388 ]
[ 1.686428   1.3576912  0.814173  -2.098871 ]
[ 1.9234996  1.5709395  1.0766675 -2.086643 ]
[ 1.8968908  1.5521669  1.1378963 -1.9923102]
[ 2.0210028   1.5304044   0.81055146 -2.0254436 ]
[ 1.862583    1.3096385   0.50075704 -2.158249  ]
[ 1.7511109  1.2597697  0.513635  -2.3265254]
[ 1.8774394  1.5645626  1.1285186 -2.2629297]
[ 5.5645785  5.5530047  5.4370146 -2.8613086]
[ 0.7772632  0.7765727  0.7667367 -2.6808767]
[ 2.4743657  2.5499668  2.7103612 -3.6404567]
[15.260219 16.371805 18.066156 -6.707469]
[25.315258 26.995626 29.72666  -8.196565]
[18.478487  19.211386  19.853933  -8.4780035]
[42.36182  44.062057 46.97561  -8.137153]
[47.2181   50.419525 55.618988 -9.898276]
[ 38.189533  40.29512   43.75828  -10.935199]
[ 42.53355   44.630424  47.846394 -12.205951]
[ 49.37895   52.167202  55.726536 -11.54351 ]
[34.055138 35.534004 37.595848 -8.540456]
[ 50.58276   52.164856  53.85647  -11.432793]
[ 50.44223   52.31655   54.428146 -12.266017]
[ 56.830296  59.326645  62.5514   -11.819139]
[ 49.946762  51.707714  53.769806 -11.852622]
[ 51.91692   54.363373  57.86066  -10.429899]
[ 80.074745  84.10257   88.84342  -12.003192]
[ 89.00288   92.932976  97.30752  -15.300579]
[ 71.31324    74.02697    77.07655   -14.0839815]
[ 76.87461   80.56663   84.0506   -14.148753]
[54.28909  56.74696  59.94992  -8.832441]
[57.092182 59.35766  62.109062 -9.540555]
[46.172657  48.10346   50.55062   -7.3484244]
[33.570362  35.035496  37.37607   -3.9938014]
[21.081509  21.895142  23.659101   1.6135436]
