x,y,z,r,g,b,d
"['0.075600006', '-1.4768219', '1.4428071']",[49.45664  50.46917  58.894188 -3.903847]
"['0.07800001', '-1.4137101', '1.4251184']",[ 94.424835   97.493614  111.12875    -5.6233463]
"['0.080400005', '-1.3505983', '1.4074297']",[ 82.89832    86.65046   102.17329    -4.8035808]
"['0.08280001', '-1.2874866', '1.3897411']",[83.6268    82.15003   91.161064  -4.4550853]
"['0.085200004', '-1.2243748', '1.3720524']",[79.72134   79.79307   89.69412   -4.0788937]
"['0.08760001', '-1.161263', '1.3543637']",[36.335094  35.417446  36.65976   -2.6595786]
"['0.09', '-1.0981512', '1.3366752']",[34.040043  35.16576   40.490463  -2.6624706]
"['0.092400014', '-1.035039', '1.3189864']",[26.021624  25.628304  28.935217  -2.1879532]
"['0.0948', '-0.9719274', '1.3012978']",[25.27469  25.43508  28.581234 -2.421818]
"['0.09720001', '-0.9088154', '1.283609']",[20.511162  21.055145  23.039444  -1.9211466]
"['0.09960001', '-0.84570384', '1.2659204']",[18.67776   19.332056  20.897133  -1.6824199]
"['0.10200001', '-0.7825918', '1.2482316']",[17.442133  17.995188  19.722218  -1.6145447]
"['0.10440002', '-0.71948004', '1.2305431']",[21.319872  22.39531   24.901371  -1.6332115]
"['0.106800005', '-0.6563685', '1.2128544']",[12.166734  11.939853  11.828028  -1.2167354]
"['0.109200016', '-0.5932565', '1.1951658']",[13.195317  13.205973  12.730142  -1.0847672]
"['0.111600004', '-0.53014493', '1.1774771']",[ 6.2448606   6.164486    4.8796144  -0.40752065]
"['0.114000015', '-0.4670329', '1.1597884']",[10.226709   10.594087   10.928656   -0.67757154]
"['0.1164', '-0.40392137', '1.1420999']",[11.716554  11.77176   12.779424  -1.0001926]
"['0.118800014', '-0.34080935', '1.1244111']",[25.492792  27.110651  31.031048  -1.6206836]
"['0.1212', '-0.27769756', '1.1067225']",[29.086493  29.909042  32.636337  -1.6929991]
"['0.12360001', '-0.21458554', '1.0890337']",[20.202654  20.810385  22.334646  -1.5775247]
"['0.126', '-0.151474', '1.0713451']",[15.929431 17.134268 18.719604 -1.344762]
"['0.12840001', '-0.08836198', '1.0536563']",[16.262476  17.129005  18.96307   -1.0037495]
"['0.13080001', '-0.025250435', '1.0359678']",[22.399477  22.835579  24.762459  -1.8998287]
"['0.13320002', '0.037861824', '1.0182791']",[23.009304  23.25154   24.810059  -1.6799892]
"['0.13560002', '0.10097337', '1.0005904']",[22.080244  20.535444  22.968872  -1.7189748]
"['0.13800001', '0.16408491', '0.9829018']",[32.408566  27.120941  30.281242  -2.2906277]
"['0.14040002', '0.22719693', '0.96521306']",[27.334778  22.476017  22.309732  -1.4146793]
"['0.14280002', '0.29030895', '0.9475244']",[39.141605  31.536747  34.371716  -2.0604029]
"['0.14520001', '0.3534205', '0.9298358']",[28.55505   24.694113  25.918873  -1.3812523]
