x,y,z,d
-2.16,-1.5182219,0.11325443,-4.5624986
-2.11,-1.5182219,0.11325443,-2.872682
-2.06,-1.5182219,0.11325443,-2.5141704
-2.01,-1.5182219,0.11325443,-3.1556933
-1.96,-1.5182219,0.11325443,-3.4996912
-1.91,-1.5182219,0.11325443,-4.5239887
-1.86,-1.5182219,0.11325443,-4.9731107
-1.81,-1.5182219,0.11325443,-4.8280735
-1.76,-1.5182219,0.11325443,-5.3647294
-1.71,-1.5182219,0.11325443,-6.0217075
-1.66,-1.5182219,0.11325443,-5.100327
-1.61,-1.5182219,0.11325443,-4.161051
-1.56,-1.5182219,0.11325443,-4.5970592
-1.51,-1.5182219,0.11325443,-4.2990427
-1.46,-1.5182219,0.11325443,-4.284928
-1.41,-1.5182219,0.11325443,-4.1192117
-1.36,-1.5182219,0.11325443,-4.3095536
-1.31,-1.5182219,0.11325443,-3.8702629
-1.26,-1.5182219,0.11325443,-3.1780128
-1.21,-1.5182219,0.11325443,-3.3659587
-1.16,-1.5182219,0.11325443,-3.688613
-1.11,-1.5182219,0.11325443,-3.758137
-1.06,-1.5182219,0.11325443,-4.0212297
-1.01,-1.5182219,0.11325443,-3.5276942
-0.96,-1.5182219,0.11325443,-3.411175
-0.91,-1.5182219,0.11325443,-4.142114
-0.86,-1.5182219,0.11325443,-2.1055036
-0.81,-1.5182219,0.11325443,-2.6796374
-0.76,-1.5182219,0.11325443,-2.1262684
-0.71,-1.5182219,0.11325443,-2.6470885
-0.66,-1.5182219,0.11325443,-4.4024105
-0.61,-1.5182219,0.11325443,-3.3153527
-0.56,-1.5182219,0.11325443,-3.7162197
-0.51,-1.5182219,0.11325443,-2.403529
-0.46,-1.5182219,0.11325443,-1.8611674
-0.41,-1.5182219,0.11325443,-2.3094623
-0.36,-1.5182219,0.11325443,-2.4862895
-0.31,-1.5182219,0.11325443,-3.1488461
-0.26,-1.5182219,0.11325443,-3.5283291
-0.21,-1.5182219,0.11325443,-4.602137
-0.16,-1.5182219,0.11325443,-3.2034986
-0.11,-1.5182219,0.11325443,-2.895149
-0.06,-1.5182219,0.11325443,-2.5015516
-0.01,-1.5182219,0.11325443,-3.3408635
0.04,-1.5182219,0.11325443,-2.5017369
0.09,-1.5182219,0.11325443,-2.840951
0.14,-1.5182219,0.11325443,-3.1299443
0.19,-1.5182219,0.11325443,-3.6786747
0.24,-1.5182219,0.11325443,-3.021896
0.29,-1.5182219,0.11325443,-2.650215
0.34,-1.5182219,0.11325443,-2.4221714
0.39,-1.5182219,0.11325443,-2.8351848
0.44,-1.5182219,0.11325443,-3.0911927
0.49,-1.5182219,0.11325443,-4.4803505
0.54,-1.5182219,0.11325443,-4.3027296
0.59,-1.5182219,0.11325443,-4.145268
0.64,-1.5182219,0.11325443,-3.980776
0.69,-1.5182219,0.11325443,-3.573495
0.74,-1.5182219,0.11325443,-4.0625377
0.79,-1.5182219,0.11325443,-5.3294635
0.84,-1.5182219,0.11325443,-5.2439823
0.89,-1.5182219,0.11325443,-5.457864
0.94,-1.5182219,0.11325443,-5.8759556
0.99,-1.5182219,0.11325443,-5.7664647
1.04,-1.5182219,0.11325443,-4.0567155
1.09,-1.5182219,0.11325443,-4.0459423
1.14,-1.5182219,0.11325443,-4.3351316
1.19,-1.5182219,0.11325443,-4.915281
1.24,-1.5182219,0.11325443,-5.1656384
1.29,-1.5182219,0.11325443,-6.1226983
1.34,-1.5182219,0.11325443,-5.486096
1.39,-1.5182219,0.11325443,-5.7170115
1.44,-1.5182219,0.11325443,-4.9833384
1.49,-1.5182219,0.11325443,-5.076904
1.54,-1.5182219,0.11325443,-6.2274895
1.59,-1.5182219,0.11325443,-6.801483
1.64,-1.5182219,0.11325443,-5.450896
1.69,-1.5182219,0.11325443,-5.6731067
1.74,-1.5182219,0.11325443,-5.0897555
1.79,-1.5182219,0.11325443,-4.5999336
1.84,-1.5182219,0.11325443,-4.654696
1.89,-1.5182219,0.11325443,-4.7088485
1.94,-1.5182219,0.11325443,-5.103642
1.99,-1.5182219,0.11325443,-5.6505632
2.04,-1.5182219,0.11325443,-6.207461
2.09,-1.5182219,0.11325443,-7.2537336
2.14,-1.5182219,0.11325443,-6.6861215
-2.16,-1.4682219,0.11325443,-5.8131776
-2.11,-1.4682219,0.11325443,-3.9964373
-2.06,-1.4682219,0.11325443,-4.3233433
-2.01,-1.4682219,0.11325443,-4.0354385
-1.96,-1.4682219,0.11325443,-4.2805305
-1.91,-1.4682219,0.11325443,-4.8098197
-1.86,-1.4682219,0.11325443,-6.1137977
-1.81,-1.4682219,0.11325443,-5.7413373
-1.76,-1.4682219,0.11325443,-6.0729814
-1.71,-1.4682219,0.11325443,-5.167786
-1.66,-1.4682219,0.11325443,-4.79112
-1.61,-1.4682219,0.11325443,-4.55138
-1.56,-1.4682219,0.11325443,-4.28539
-1.51,-1.4682219,0.11325443,-4.1606107
-1.46,-1.4682219,0.11325443,-4.828367
-1.41,-1.4682219,0.11325443,-4.715812
-1.36,-1.4682219,0.11325443,-5.0004473
-1.31,-1.4682219,0.11325443,-4.194918
-1.26,-1.4682219,0.11325443,-3.2691932
-1.21,-1.4682219,0.11325443,-3.4797423
-1.16,-1.4682219,0.11325443,-3.7031891
-1.11,-1.4682219,0.11325443,-4.0327516
-1.06,-1.4682219,0.11325443,-5.6260467
-1.01,-1.4682219,0.11325443,-4.8826156
-0.96,-1.4682219,0.11325443,-4.8165503
-0.91,-1.4682219,0.11325443,-3.5758295
-0.86,-1.4682219,0.11325443,-2.6317527
-0.81,-1.4682219,0.11325443,-3.3419845
-0.76,-1.4682219,0.11325443,-3.1586883
-0.71,-1.4682219,0.11325443,-2.9777577
-0.66,-1.4682219,0.11325443,-4.5129366
-0.61,-1.4682219,0.11325443,-3.8750026
-0.56,-1.4682219,0.11325443,-3.7236404
-0.51,-1.4682219,0.11325443,-3.1102831
-0.46,-1.4682219,0.11325443,-2.0112278
-0.41,-1.4682219,0.11325443,-1.8982134
-0.36,-1.4682219,0.11325443,-2.135247
-0.31,-1.4682219,0.11325443,-2.968007
-0.26,-1.4682219,0.11325443,-3.3467193
-0.21,-1.4682219,0.11325443,-4.3053784
-0.16,-1.4682219,0.11325443,-2.3436685
-0.11,-1.4682219,0.11325443,-2.185868
-0.06,-1.4682219,0.11325443,-2.202581
-0.01,-1.4682219,0.11325443,-2.99269
0.04,-1.4682219,0.11325443,-2.5482569
0.09,-1.4682219,0.11325443,-2.765332
0.14,-1.4682219,0.11325443,-2.534576
0.19,-1.4682219,0.11325443,-3.9340584
0.24,-1.4682219,0.11325443,-2.1681921
0.29,-1.4682219,0.11325443,-2.7538989
0.34,-1.4682219,0.11325443,-1.8636544
0.39,-1.4682219,0.11325443,-2.4824252
0.44,-1.4682219,0.11325443,-2.5322268
0.49,-1.4682219,0.11325443,-4.1926675
0.54,-1.4682219,0.11325443,-4.0668406
0.59,-1.4682219,0.11325443,-4.445655
0.64,-1.4682219,0.11325443,-4.1940293
0.69,-1.4682219,0.11325443,-4.3838835
0.74,-1.4682219,0.11325443,-4.776136
0.79,-1.4682219,0.11325443,-6.0891585
0.84,-1.4682219,0.11325443,-5.1727333
0.89,-1.4682219,0.11325443,-6.426148
0.94,-1.4682219,0.11325443,-6.721605
0.99,-1.4682219,0.11325443,-7.260188
1.04,-1.4682219,0.11325443,-5.2287297
1.09,-1.4682219,0.11325443,-4.5466886
1.14,-1.4682219,0.11325443,-4.172149
1.19,-1.4682219,0.11325443,-5.023895
1.24,-1.4682219,0.11325443,-5.2442703
1.29,-1.4682219,0.11325443,-6.6590157
1.34,-1.4682219,0.11325443,-6.674966
1.39,-1.4682219,0.11325443,-7.145766
1.44,-1.4682219,0.11325443,-5.4846125
1.49,-1.4682219,0.11325443,-6.4063997
1.54,-1.4682219,0.11325443,-6.4542828
1.59,-1.4682219,0.11325443,-8.193369
1.64,-1.4682219,0.11325443,-6.7121882
1.69,-1.4682219,0.11325443,-7.1522713
1.74,-1.4682219,0.11325443,-6.7117014
1.79,-1.4682219,0.11325443,-6.079218
1.84,-1.4682219,0.11325443,-5.778709
1.89,-1.4682219,0.11325443,-4.2159677
1.94,-1.4682219,0.11325443,-5.0913086
1.99,-1.4682219,0.11325443,-5.7284966
2.04,-1.4682219,0.11325443,-6.4768147
2.09,-1.4682219,0.11325443,-7.7602534
2.14,-1.4682219,0.11325443,-7.707221
-2.16,-1.4182219,0.11325443,-6.07133
-2.11,-1.4182219,0.11325443,-4.402977
-2.06,-1.4182219,0.11325443,-4.458385
-2.01,-1.4182219,0.11325443,-4.5710745
-1.96,-1.4182219,0.11325443,-4.188702
-1.91,-1.4182219,0.11325443,-4.663302
-1.86,-1.4182219,0.11325443,-6.4077797
-1.81,-1.4182219,0.11325443,-5.7621126
-1.76,-1.4182219,0.11325443,-5.760325
-1.71,-1.4182219,0.11325443,-5.6651983
-1.66,-1.4182219,0.11325443,-5.324308
-1.61,-1.4182219,0.11325443,-5.095135
-1.56,-1.4182219,0.11325443,-4.7032623
-1.51,-1.4182219,0.11325443,-4.6165943
-1.46,-1.4182219,0.11325443,-5.499933
-1.41,-1.4182219,0.11325443,-4.955629
-1.36,-1.4182219,0.11325443,-4.9888525
-1.31,-1.4182219,0.11325443,-4.371874
-1.26,-1.4182219,0.11325443,-3.91915
-1.21,-1.4182219,0.11325443,-3.5787861
-1.16,-1.4182219,0.11325443,-3.8579943
-1.11,-1.4182219,0.11325443,-3.8307884
-1.06,-1.4182219,0.11325443,-5.729208
-1.01,-1.4182219,0.11325443,-4.519205
-0.96,-1.4182219,0.11325443,-4.8151097
-0.91,-1.4182219,0.11325443,-3.9804413
-0.86,-1.4182219,0.11325443,-3.0831769
-0.81,-1.4182219,0.11325443,-3.381381
-0.76,-1.4182219,0.11325443,-3.7294493
-0.71,-1.4182219,0.11325443,-3.7188032
-0.66,-1.4182219,0.11325443,-5.8751717
-0.61,-1.4182219,0.11325443,-4.5479236
-0.56,-1.4182219,0.11325443,-4.4099593
-0.51,-1.4182219,0.11325443,-4.0740685
-0.46,-1.4182219,0.11325443,-2.8554358
-0.41,-1.4182219,0.11325443,-2.2047558
-0.36,-1.4182219,0.11325443,-2.4722614
-0.31,-1.4182219,0.11325443,-2.8806703
-0.26,-1.4182219,0.11325443,-3.9107869
-0.21,-1.4182219,0.11325443,-4.1852193
-0.16,-1.4182219,0.11325443,-3.3612635
-0.11,-1.4182219,0.11325443,-2.939757
-0.06,-1.4182219,0.11325443,-3.3910997
-0.01,-1.4182219,0.11325443,-4.2919207
0.04,-1.4182219,0.11325443,-4.0577083
0.09,-1.4182219,0.11325443,-4.025024
0.14,-1.4182219,0.11325443,-4.368604
0.19,-1.4182219,0.11325443,-4.6303883
0.24,-1.4182219,0.11325443,-2.99425
0.29,-1.4182219,0.11325443,-2.7571466
0.34,-1.4182219,0.11325443,-2.529231
0.39,-1.4182219,0.11325443,-2.3680341
0.44,-1.4182219,0.11325443,-2.8661413
0.49,-1.4182219,0.11325443,-3.713232
0.54,-1.4182219,0.11325443,-4.1820774
0.59,-1.4182219,0.11325443,-4.5258565
0.64,-1.4182219,0.11325443,-4.046093
0.69,-1.4182219,0.11325443,-3.899627
0.74,-1.4182219,0.11325443,-4.7835126
0.79,-1.4182219,0.11325443,-6.2084546
0.84,-1.4182219,0.11325443,-5.635843
0.89,-1.4182219,0.11325443,-6.1195793
0.94,-1.4182219,0.11325443,-7.528569
0.99,-1.4182219,0.11325443,-8.017662
1.04,-1.4182219,0.11325443,-6.104674
1.09,-1.4182219,0.11325443,-4.6908545
1.14,-1.4182219,0.11325443,-4.6787667
