x,y,z
-1.9811922,2.2927814,0.96447456
-1.9923509,2.32521,0.9586421
-2.0000002,2.3474398,0.9546441
-2.0035098,2.3576393,0.9528097
-2.0146685,2.390068,0.94697726
-2.0228574,2.413866,0.94269717
-2.025827,2.4224963,0.94114494
-2.0369854,2.4549246,0.9353126
-2.0457144,2.4802914,0.93075037
-2.048144,2.4873524,0.92948043
-2.0593026,2.519781,0.923648
-2.0685716,2.5467181,0.91880333
-2.0704613,2.5522094,0.9178157
-2.0816197,2.584638,0.91198325
-2.0914288,2.6131444,0.9068564
-2.0927784,2.6170664,0.90615094
-2.103937,2.6494951,0.9003186
-2.1142857,2.6795697,0.8949096
-2.1150956,2.6819234,0.8944863
-2.126254,2.7143517,0.888654
-2.137143,2.745996,0.8829626
-2.1374128,2.7467809,0.88282156
-2.1485715,2.7792091,0.8769891
-2.16,2.8124223,0.87101567
