r,g,b,d
[109.53428  115.53478  134.30185   -6.989311]
[ 99.53148   104.752174  122.26009    -5.2701373]
[122.07748  126.72048  143.82869   -5.680802]
[76.54178  77.72726  85.91201  -4.820196]
[57.707363  58.888798  65.49705   -4.1602273]
[66.97118   69.20016   79.91821   -4.5853195]
[34.899025 37.629776 45.08561  -3.014069]
[32.009663 34.641266 42.31831  -3.02916 ]
[34.930134  37.937183  46.190914  -3.5965335]
[31.446619  30.891039  32.033657  -3.1551347]
[34.462887 33.656757 36.687874 -3.358934]
[29.159239  30.309893  31.462532  -3.0454714]
[30.103773  31.703215  36.316936  -3.1339543]
[26.893461  26.716528  29.609257  -2.6488671]
[22.427485  22.295372  23.203363  -2.6350126]
[16.887012  17.749832  19.307653  -2.6115847]
[31.689844  33.015305  35.78897   -3.2472208]
[49.28187   52.126873  58.72998   -3.8753264]
[52.87209   55.77416   61.362675  -3.1512043]
[38.921135  39.831783  46.34274   -2.8123462]
[82.30905   78.08703   89.15342   -4.3836217]
[63.387142  58.122982  67.57492   -3.6360402]
[61.48261  51.549164 59.76808  -3.442361]
[72.8592   64.2288   72.77178  -4.119618]
[57.158916 51.56545  58.5317   -3.085176]
[62.83203  54.04903  63.214054 -3.199453]
[56.906246  54.677505  60.393932  -3.5030458]
[42.64677   41.275166  44.567837  -2.5168743]
[45.210793  43.709217  45.98395   -2.4456046]
[49.43716  50.817722 54.72599  -2.783558]
[55.199093  56.320423  60.392464  -2.7426054]
[41.858932 41.18756  45.010727 -2.726743]
[41.46509   42.463326  46.315727  -2.1232414]
[65.50646  67.64002  75.580635 -2.778588]
[73.70151   74.56842   81.11068   -3.5234532]
[80.4291    82.88855   92.87039   -3.6603308]
[111.65224   113.0411    123.17359    -3.5957663]
[ 99.05743    97.235435  105.1076     -3.6936889]
[ 95.20729   95.1841   102.63744   -4.001999]
[162.84265  162.65312  176.25647   -6.550779]
[156.80696  152.84128  163.35802   -6.817509]
[184.13364   179.8927    195.29247    -7.4137316]
[208.63544  201.33955  218.44652   -8.043592]
[212.07323  193.80647  205.99184   -8.116686]
[146.85829  134.03557  135.68002   -6.762133]
[165.27933  154.8672   165.14642   -7.903934]
[168.92595  154.63936  160.65977   -8.493135]
[151.93881  141.02856  149.79115   -8.565457]
[136.94292   129.45927   138.93405    -7.0927987]
[147.33534   135.14684   142.74869    -7.3343987]
[138.87328  131.68526  138.99373   -7.403461]
[158.68704   153.39313   163.14275    -7.4081535]
[158.79521   148.32996   157.05252    -7.7522755]
[150.42194  143.97765  154.69142   -7.484842]
[147.25201  141.4543   153.39232   -6.847453]
[142.33998   137.40532   151.33849    -7.4545193]
[123.78979   119.12524   129.6481     -6.6791596]
[132.54091   130.93214   140.94615    -6.9846497]
[134.05243  135.817    153.17688   -7.909142]
[139.55986  146.69604  168.93028   -8.546812]
[124.939766 125.9928   146.04552   -6.407749]
[136.33862  133.6057   149.52522   -6.225602]
[116.1075    113.12801   123.26829    -6.3021345]
